011111110100,011111110100,011111110100
011011111101010,011011111101010,011011111101010
1110011,1001100,1001101
0001010001100,0001010001100,0001010001100
010110001100100,010110001100100,010110001100100
1001,1110,1111
,ERROR
0111001001,0111001001,0111001001
1010,1101,1110
01011001010,01011001010,01011001010
0111,0111,0111
01111101,01111101,01111101
1101111,1010000,1010001
0111011101,0111011101,0111011101
1,ERROR
000,000,000
,ERROR
1001101,1110010,1110011
0011,0011,0011
010101,010101,010101
001010001,001010001,001010001
0011010,0011010,0011010
010110111001,010110111001,010110111001
011110001001000,011110001001000,011110001001000
00111010000001101,ERROR
00011011100100,00011011100100,00011011100100
,ERROR
111010001,100101110,100101111
10011110100100000,ERROR
011000000101,011000000101,011000000101
10110110110111011,ERROR
0110011010,0110011010,0110011010
00001000,00001000,00001000
101011011,110100100,110100101
0010100011100,0010100011100,0010100011100
00100,00100,00100
00001111000110,00001111000110,00001111000110
110001011011110,101110100100001,101110100100010
0,ERROR
00000100000001,00000100000001,00000100000001
0010100110100,0010100110100,0010100110100
00011110010011,00011110010011,00011110010011
0100111,0100111,0100111
101110011110,110001100001,110001100010
110101100100,101010011011,101010011100
011000000111011,011000000111011,011000000111011
10,11,00
10000111000001,11111000111110,11111000111111
11011010,10100101,10100110
00110110111111,00110110111111,00110110111111
001101110,001101110,001101110
,ERROR
1,ERROR
10011,11100,11101
,ERROR
00,00,00
010110,010110,010110
10011,11100,11101
,ERROR
11010001011000,10101110100111,10101110101000
001011001,001011001,001011001
10110100,11001011,11001100
11010111011,10101000100,10101000101
10110001,11001110,11001111
,ERROR
011101111001,011101111001,011101111001
0010100,0010100,0010100
1001110110010,1110001001101,1110001001110
00100,00100,00100
1001,1110,1111
11,10,00
111010000010,100101111101,100101111110
100,111,000
001000110010,001000110010,001000110010
,ERROR
100,111,000
,ERROR
001010011110,001010011110,001010011110
11100110011,10011001100,10011001101
1001110010101111,1110001101010000,1110001101010001
,ERROR
01,01,01
11111,10000,10001
10111011,11000100,11000101
11001,10110,10111
1,ERROR
010,010,010
10011010,11100101,11100110
,ERROR
10010111011,11101000100,11101000101
01,01,01
111100001110,100011110001,100011110010
01101101011100011,ERROR
1011111000,1100000111,1100001000
010001010111,010001010111,010001010111
,ERROR
0100,0100,0100
00,00,00
111010,100101,100110
0,ERROR
1111,1000,1001
01001110011010,01001110011010,01001110011010
00011110001100,00011110001100,00011110001100
,ERROR
10,11,00
0011010,0011010,0011010
010001000011000,010001000011000,010001000011000
,ERROR
00110110000,00110110000,00110110000
000001010011,000001010011,000001010011
10101100010111,11010011101000,11010011101001
01110101001000001,ERROR
00001011000,00001011000,00001011000
000001,000001,000001
00001100011,00001100011,00001100011
,ERROR
101011110000110,110100001111001,110100001111010
0010,0010,0010
000000011011010,000000011011010,000000011011010
001100101110011,001100101110011,001100101110011
,ERROR
,ERROR
,ERROR
1,ERROR
01,01,01
110000011,101111100,101111101
1000010,1111101,1111110
0100,0100,0100
1100111000011110,1011000111100001,1011000111100010
,ERROR
10,11,00
0001010000011101,0001010000011101,0001010000011101
01110101,01110101,01110101
1011000111,1100111000,1100111001
00110100001,00110100001,00110100001
11,10,00
01010100,01010100,01010100
01101000000000010,ERROR
01100101000000,01100101000000,01100101000000
011010001,011010001,011010001
001,001,001
0,ERROR
11010010110,10101101001,10101101010
1011,1100,1101
111000,100111,101000
11011,10100,10101
11100,10011,10100
101000001,110111110,110111111
10011100010,11100011101,11100011110
0,ERROR
1001101010100101,1110010101011010,1110010101011011
100100001010,111011110101,111011110110
0100011101,0100011101,0100011101
1111100,1000011,1000100
010010110,010010110,010010110
10100000,11011111,11100000
,ERROR
11010011101,10101100010,10101100011
,ERROR
00111001001101,00111001001101,00111001001101
1111111100000001,1000000011111110,1000000011111111
01,01,01
01000101001100,01000101001100,01000101001100
0100000001101110,0100000001101110,0100000001101110
1110001,1001110,1001111
,ERROR
111111000001100,100000111110011,100000111110100
0001111,0001111,0001111
00000101,00000101,00000101
11,10,00
10000100111111,11111011000000,11111011000001
011000,011000,011000
1000101110010,1111010001101,1111010001110
011100110100,011100110100,011100110100
00010,00010,00010
100111011,111000100,111000101
0000001110101,0000001110101,0000001110101
01000011,01000011,01000011
0110011111100,0110011111100,0110011111100
10100011110011,11011100001100,11011100001101
1011,1100,1101
001,001,001
1101001001001111,1010110110110000,1010110110110001
00110011100110001,ERROR
011000111111,011000111111,011000111111
1001110,1110001,1110010
00001,00001,00001
1,ERROR
111101001001011,100010110110100,100010110110101
10001,11110,11111
00110011,00110011,00110011
0010100,0010100,0010100
001000000101,001000000101,001000000101
011100110100010,011100110100010,011100110100010
00,00,00
1101000011,1010111100,1010111101
00,00,00
1,ERROR
00,00,00
0101,0101,0101
1011010111,1100101000,1100101001
111110010100001,100001101011110,100001101011111
01101010000001,01101010000001,01101010000001
011100100111111,011100100111111,011100100111111
1000000010,1111111101,1111111110
01101,01101,01101
00110,00110,00110
00111,00111,00111
0,ERROR
11111,10000,10001
100100000001111,111011111110000,111011111110001
10110110101,11001001010,11001001011
00011010,00011010,00011010
10,11,00
0111,0111,0111
