586,0
0,623
206,0
0,192
572,0
0,207
572,0
0,592
192,0
0,575
598,0
0,190
202,0
0,585
573,0
0,594
600,0
0,182
209,0
0,193
624,0
0,197
617,0
0,1389
608,0
0,571
184,0
0,187
196,0
0,205
186,0
0,189
213,0
0,576
202,0
0,205
595,0
0,184
183,0
0,585
216,0
0,610
183,0
0,1420
199,0
0,192
606,0
0,199
619,0
0,198
207,0
0,580
601,0
0,216
567,0
0,181
578,0
0,568
211,0
0,217
197,0
0,587
583,0
0,196
197,0
0,604
588,0
0,1406
210,0
0,188
208,0
0,215
625,0
0,183
198,0
0,562
181,0
0,215
199,0
0,580
181,0
0,210
213,0
0,200
214,0
0,184
605,0
0,590
207,0
0,1428
616,0
0,181
198,0
0,215
641,0
0,213
198,0
0,602
188,0
0,569
559,0
0,198
186,0
0,582
565,0
0,650
184,0
0,203
210,0
0,592
561,0
0,210
618,0
0,206
209,0
0,588
217,0
0,207
607,0
0,191
202,0
0,610
206,0
0,188
613,0
0,556
609,0
0,205
180,0
0,196
184,0
0,593
208,0
0,1383
588,0
0,199
199,0
0,210
612,0
0,191
181,0
0,577
602,0
0,201
634,0
0,193
611,0
0,587
574,0
0,184
594,0
0,608
584,0
0,192
599,0
0,575
202,0
0,207
600,0
0,1371
590,0
0,207
205,0
0,208
601,0
0,198
180,0
0,615
216,0
0,181
586,0
0,192
212,0
0,190
205,0
0,606
180,0
0,593
198,0
0,210
583,0
0,596
192,0
0,215
597,0
0,189
213,0
0,1366
213,0
0,185
201,0
0,187
204,0
0,193
181,0
0,214
186,0
0,585
182,0
0,206
204,0
0,201
182,0
0,208
188,0
0,209
212,0
0,1429
589,0
0,188
190,0
0,214
581,0
0,189
200,0
0,611
602,0
0,213
573,0
0,192
583,0
0,619
622,0
0,200
575,0
0,619
614,0
0,202
610,0
0,584
208,0
0,183
568,0
0,1408
195,0
0,187
204,0
0,209
189,0
0,184
597,0
0,195
615,0
0,1391
203,0
0,204
209,0
0,210
182,0
0,200
201,0
0,189
206,0
0,1376
